NEVO-versie/Nevo-version|NEVO-code|Voedingsmiddelnaam|Food name|Ingr_NEVO-code|Ingr_Voedingsmiddel|Ingr_Food|Ingr_relatieve_hoeveelheid/Ingr_relative_amount
NEVO-Online 2021 7.0|2735|Tomaat gekookt gem|Tomato av boiled|61|Tomaat gewoon gekookt|Tomatoes classic round boiled|50,0
NEVO-Online 2021 7.0|2735|Tomaat gekookt gem|Tomato av boiled|2733|Tomaat vlees- gekookt|Tomato beef boiled|50,0
NEVO-Online 2021 7.0|2742|Paprika rauw gem|Sweet pepper av raw|884|Paprika rode rauw|Sweet pepper red raw|52,2
NEVO-Online 2021 7.0|2742|Paprika rauw gem|Sweet pepper av raw|2740|Paprika gele rauw|Sweet pepper yellow raw|26,2
NEVO-Online 2021 7.0|2742|Paprika rauw gem|Sweet pepper av raw|31|Paprika groene rauw|Sweet pepper green raw|21,6
NEVO-Online 2021 7.0|2743|Paprika gekookt gem|Sweet pepper av boiled|885|Paprika rode gekookt|Sweet pepper red boiled|56,8
NEVO-Online 2021 7.0|2743|Paprika gekookt gem|Sweet pepper av boiled|2741|Paprika gele gekookt|Sweet pepper yellow boiled|21,9
NEVO-Online 2021 7.0|2743|Paprika gekookt gem|Sweet pepper av boiled|32|Paprika groene gekookt|Sweet pepper green boiled|21,3
NEVO-Online 2021 7.0|2786|Brood tarwe/volkoren- gem m pompoenpitten|Bread brown/wholemeal av w pumpkin seeds|236|Brood tarwe-|Bread brown wheat|44,1
NEVO-Online 2021 7.0|2786|Brood tarwe/volkoren- gem m pompoenpitten|Bread brown/wholemeal av w pumpkin seeds|2811|Brood volkoren- fijn|Bread wholemeal fine|22,0
NEVO-Online 2021 7.0|2786|Brood tarwe/volkoren- gem m pompoenpitten|Bread brown/wholemeal av w pumpkin seeds|2782|Brood volkoren- grof|Bread wholemeal coarse|22,0
NEVO-Online 2021 7.0|2786|Brood tarwe/volkoren- gem m pompoenpitten|Bread brown/wholemeal av w pumpkin seeds|2806|Pompoenpitten|Pumpkin seeds|11,9
NEVO-Online 2021 7.0|2787|Brood tarwe/volkoren- gem m zonnebloempitten|Bread brown/wholemeal av w sunflower seeds|236|Brood tarwe-|Bread brown wheat|44,1
NEVO-Online 2021 7.0|2787|Brood tarwe/volkoren- gem m zonnebloempitten|Bread brown/wholemeal av w sunflower seeds|2811|Brood volkoren- fijn|Bread wholemeal fine|22,0
NEVO-Online 2021 7.0|2787|Brood tarwe/volkoren- gem m zonnebloempitten|Bread brown/wholemeal av w sunflower seeds|2782|Brood volkoren- grof|Bread wholemeal coarse|22,0
NEVO-Online 2021 7.0|2787|Brood tarwe/volkoren- gem m zonnebloempitten|Bread brown/wholemeal av w sunflower seeds|872|Zonnebloempitten|Sunflower seeds|11,9
NEVO-Online 2021 7.0|2791|Stol m spijs z noten|Stollen w almond/imitat paste wo nuts|244|Brood rozijnen-|Bread raisin|83,1
NEVO-Online 2021 7.0|2791|Stol m spijs z noten|Stollen w almond/imitat paste wo nuts|2807|Spijs gem|Almond/imitation paste av|16,9
NEVO-Online 2021 7.0|2792|Stol m spijs m noten|Stollen w almond/imitat paste w nuts|244|Brood rozijnen-|Bread raisin|76,9
NEVO-Online 2021 7.0|2792|Stol m spijs m noten|Stollen w almond/imitat paste w nuts|207|Noten gemengd ongezouten|Nuts mixed unsalted|6,3
NEVO-Online 2021 7.0|2792|Stol m spijs m noten|Stollen w almond/imitat paste w nuts|2807|Spijs gem|Almond/imitation paste av|16,9
NEVO-Online 2021 7.0|2810|Wafel stroop- z roomboter|Waffle syrup wo butter|375|Suiker basterd- witte|Sugar castor white|9,4
NEVO-Online 2021 7.0|2810|Wafel stroop- z roomboter|Waffle syrup wo butter|378|Stroop keuken-|Syrup Keukenstroop|34,0
NEVO-Online 2021 7.0|2810|Wafel stroop- z roomboter|Waffle syrup wo butter|220|Bloem tarwe- patent|Flour wheat white|31,4
NEVO-Online 2021 7.0|2810|Wafel stroop- z roomboter|Waffle syrup wo butter|286|Melk halfvolle|Milk semi-skimmed|3,1
NEVO-Online 2021 7.0|2810|Wafel stroop- z roomboter|Waffle syrup wo butter|84|Ei kippen- gekookt gem|Egg whole chicken av boiled|3,1
